serial_no,video_link,category,begin_time_stamp_in_min,end_time_stamp_in_min,,category
Colonoscopy_392,https://www.youtube.com/watch?v=0vFIH-JLc6M,Colonoscopy,"3,00","13,10",,Colonoscopy
Colonoscopy_393,https://www.youtube.com/watch?v=2kxzmc3KfQA&ab_channel=GottumukkalaS.Raju,Colonoscopy,"1,15","9,45",,Colonoscopy
Colonoscopy_394,https://www.youtube.com/watch?v=UcRuv5xscMw&ab_channel=GottumukkalaS.Raju,Colonoscopy,"0,10","6,45",,Colonoscopy
Colonoscopy_395,https://www.youtube.com/watch?v=-8JUCDChxew&ab_channel=GottumukkalaS.Raju,Colonoscopy,"0,45","24,55",,Colonoscopy
Colonoscopy_396,https://www.youtube.com/watch?v=pZxHF6yol-E&ab_channel=GottumukkalaS.Raju,Colonoscopy,"1,00","18,55",,Colonoscopy
Colonoscopy_397,https://www.youtube.com/watch?v=22sMJ2_BfXA&ab_channel=GottumukkalaS.Raju,Colonoscopy,"1,30","17,35",,Colonoscopy
Colonoscopy_398,https://www.youtube.com/watch?v=M1N5Bk1dRBE&ab_channel=GottumukkalaS.Raju,Colonoscopy,"0,30","4,50",,Colonoscopy
Colonoscopy_399,https://www.youtube.com/watch?v=cuOGmw1MOrE&ab_channel=GottumukkalaS.Raju,Colonoscopy,"0,30","13,35",,Colonoscopy
Colonoscopy_400,https://www.youtube.com/watch?v=ZUH60f6Jz8A&ab_channel=PrecisionGI,Colonoscopy,"2,00","3,10",,Colonoscopy
Colonoscopy_401,https://www.youtube.com/watch?v=1pxWg4vCWWY&ab_channel=ShyamVaradarajulu,Colonoscopy,"3,25","7,40",,Colonoscopy
Colonoscopy_402,https://www.youtube.com/watch?v=8QwS9g2qOXQ&ab_channel=GottumukkalaS.Raju,Colonoscopy,"1,20","20,55",,Colonoscopy
Colonoscopy_403,https://www.youtube.com/watch?v=lgm-Kkxz0uI&ab_channel=GottumukkalaS.Raju,Colonoscopy,"0,00","23,50",,Colonoscopy
Colonoscopy_404,https://www.youtube.com/watch?v=iRFF-J7BZ1E,Colonoscopy,"0,30","18,35",,Colonoscopy
Colonoscopy_405,https://www.youtube.com/watch?v=e7_tHCano2g&ab_channel=GottumukkalaS.Raju,Colonoscopy,"0,50","19,40",,Colonoscopy
Colonoscopy_406,https://www.youtube.com/watch?v=8TwUHbCVyLU&ab_channel=KennethBinmoeller,Colonoscopy,"7,25","20,20",,Colonoscopy
Colonoscopy_407,https://www.youtube.com/watch?v=jjSXyvgLwS8&ab_channel=VideoGIEJournal,Colonoscopy,"6,25","7,55",,Colonoscopy
Colonoscopy_408,https://www.youtube.com/watch?v=xnDjv9As9XA&ab_channel=monzahmed,Colonoscopy,"3,45","20,15",,Colonoscopy
Craniotomy_409,https://www.youtube.com/watch?v=Zhe2e0k0ffo&ab_channel=MicroNeuroSurgeryOrg,Craniotomy,"0,15","10,05",,Craniotomy
Craniotomy_410,https://www.youtube.com/watch?v=_--2rTEmhKA&ab_channel=MicroNeuroSurgeryOrg,Craniotomy,"4,00","21,10",,Craniotomy
Aneurysm_411,https://www.youtube.com/watch?v=eePcyOMi85M&ab_channel=AmericanAssociationofNeurologicalSurgeons,Aneurysm,"1,45","10,15",,Aneurysm
Craniotomy_412,https://www.youtube.com/watch?v=eDeiMrGoE0Q&list=PLA7A46D6877130A0F&ab_channel=AmericanAssociationofNeurologicalSurgeons,Craniotomy,"2,15","3,45",,Craniotomy
Craniotomy_413,https://www.youtube.com/watch?v=lyOfOQ3sBdU&list=PLA7A46D6877130A0F&index=2&ab_channel=AmericanAssociationofNeurologicalSurgeons,Craniotomy,"2,20","5,50",,Craniotomy
Craniotomy_414,https://www.youtube.com/watch?v=logCCn3uKUc&list=PLA7A46D6877130A0F&index=3&ab_channel=AmericanAssociationofNeurologicalSurgeons,Craniotomy,"4,00","6,50",,Craniotomy
Craniotomy_415,https://www.youtube.com/watch?v=LMpz_YTFC0g&list=PLA7A46D6877130A0F&index=4&ab_channel=AmericanAssociationofNeurologicalSurgeons,Craniotomy,"4,55","8,15",,Craniotomy
Craniotomy_416,https://www.youtube.com/watch?v=3WESejZbk90&list=PLA7A46D6877130A0F&index=5&ab_channel=AmericanAssociationofNeurologicalSurgeons,Craniotomy,"5,15","6,25",,Craniotomy
Craniotomy_417,https://www.youtube.com/watch?v=VSLPq010Q-o,Craniotomy,"2,20","8,05",,Craniotomy
Craniotomy_418,https://www.youtube.com/watch?v=cvEZB0IoEIE,Craniotomy,"1,35","8,10",,Craniotomy
Craniotomy_419,https://www.youtube.com/watch?v=xDCB7v9xC9Q,Craniotomy,"1,40","11,00",,Craniotomy
Craniotomy_420,https://www.youtube.com/watch?v=ZiExgd7JOqs,Craniotomy,"2,10","10,50",,Craniotomy
Craniotomy_421,https://www.youtube.com/watch?v=e-jceP3O0eY&ab_channel=MicroNeuroSurgeryOrgg,Craniotomy,"1,00","8,00",,Craniotomy
Craniotomy_422,https://www.youtube.com/watch?v=86_PxoyYp9o,Craniotomy,"4,05","13,40",,Craniotomy
thoracic_laminectomy_423,https://www.youtube.com/watch?v=djnnYzg7SEc,thoracic_laminectomy,"0,15","8,25",,Others
Craniotomy_424,https://www.youtube.com/watch?v=VXcZOjl9C48,Craniotomy,"1,05","5,00",,Craniotomy
Craniotomy_425,https://www.youtube.com/watch?v=cil034xgU0U&ab_channel=MicroNeuroSurgeryOrgg,Craniotomy,"1,30","17,00",,Craniotomy
Craniotomy_426,https://www.youtube.com/watch?v=VZPGdqfmBLM,Craniotomy,"1,05","6,05",,Craniotomy
Craniotomy_427,https://www.youtube.com/watch?v=wbXp7mc0vT4,Craniotomy,"2,15","13,20",,Craniotomy
Craniotomy_428,https://www.youtube.com/watch?v=bv0lMPbX7BY,Craniotomy,"0,30","10,45",,Craniotomy
Craniotomy_429,https://www.youtube.com/watch?v=ZfNB_rhlyeI,Craniotomy,"4,00","12,30",,Craniotomy
Craniotomy_430,https://www.youtube.com/watch?v=xllKSOXDuNM,Craniotomy,"0,10","19,10",,Craniotomy
Craniotomy_431,https://www.youtube.com/watch?v=QZmzctjAEbw,Craniotomy,"1,00","10,30",,Craniotomy
Craniotomy_432,https://www.youtube.com/watch?v=g6SQ5JVK0Ko,Craniotomy,"1,10","8,40",,Craniotomy
Craniotomy_433,https://www.youtube.com/watch?v=VKfe1cBHwZo,Craniotomy,"0,35","11,15",,Craniotomy
Craniotomy_434,https://www.youtube.com/watch?v=Ex_vLZV9Aag,Craniotomy,"2,55","6,25",,Craniotomy
Craniotomy_435,https://www.youtube.com/watch?v=gWBJHWIaQuI,Craniotomy,"2,20","6,00",,Craniotomy
Craniotomy_436,https://www.youtube.com/watch?v=Q1w8w6Oac-I,Craniotomy,"2,05","5,20",,Craniotomy
Craniotomy_437,https://www.youtube.com/watch?v=9tBJFwnKiDY,Craniotomy,"1,35","4,15",,Craniotomy
Craniotomy_438,https://www.youtube.com/watch?v=lE75pEIbcYs,Craniotomy,"2,55","5,50",,Craniotomy
Craniotomy_439,https://www.youtube.com/watch?v=34fddDD6XAY,Craniotomy,"2,20","6,20",,Craniotomy
Craniotomy_440,https://www.youtube.com/watch?v=jxy-IEl0psM,Craniotomy,"5,05","1,40",,Craniotomy
Craniotomy_441,https://www.youtube.com/watch?v=WLdtUCgKW2s,Craniotomy,"1,50","5,10",,Craniotomy
Craniotomy_442,https://www.youtube.com/watch?v=3uisLp56Eu8,Craniotomy,"2,20","5,30",,Craniotomy
Craniotomy_443,https://www.youtube.com/watch?v=mjbaK8ZdEco,Craniotomy,"1,35","4,55",,Craniotomy
Craniotomy_444,https://www.youtube.com/watch?v=Z4NejXGuIhA,Craniotomy,"2,00","5,00",,Craniotomy
Craniotomy_445,https://www.youtube.com/watch?v=Ca_DuECG7A0,Craniotomy,"2,40","6,10",,Craniotomy
Craniotomy_446,https://www.youtube.com/watch?v=1P0nIZki5Nk,Craniotomy,"1,55","6,00",,Craniotomy
Craniotomy_447,https://www.youtube.com/watch?v=KB7uD004tqs&ab_channel=BarrowNeurologicalInstitutee,Craniotomy,"1,31","4,55",,Craniotomy
Craniotomy_448,https://www.youtube.com/watch?v=sUt-9QFGgCI,Craniotomy,"2,01","9,30",,Craniotomy
Turbinectomy_449,https://www.youtube.com/watch?v=e6203R9HHmk,Turbinectomy,"2,10","7,10",,Turbinectomy
Turbinectomy_450,https://www.youtube.com/watch?v=JJY6nYKTCSg,Turbinectomy,"0,55","8,35",,Turbinectomy
Turbinectomy_451,https://www.youtube.com/watch?v=6pSwdYsN9hk,Turbinectomy,"1,50","8,30",,Turbinectomy
Turbinectomy_452,https://www.youtube.com/watch?v=ClL73FU5QIU,Turbinectomy,"1,45","9,55",,Turbinectomy
Turbinectomy_453,https://www.youtube.com/watch?v=Gu6yOp51Df0,Turbinectomy,"0,55","7,10",,Turbinectomy
septoplasty_454,https://www.youtube.com/watch?v=9uBEvWmjydc,septoplasty,"0,45","9,15",,Others
